,PI,H-Index
0,Elizabeth Koebele,22
0,Elliot Rabinovich,37
0,Erik Thulin,9
0,George Loewenstein,168
0,Gerard Kyle,51
0,Gilbert Omenn,101
0,Gregory Fischer,51
0,Gregory Poe,36
0,Gretchen Chapman,65
0,H. Hubbard,23
0,Henrik Olsson,8
0,Howard Aldrich,101
0,J. Russo,118
0,James Meldrum,19
0,James Rilling,67
0,Janet Fulk,49
0,Jason Merrick,26
0,Jeremy Freese,53
0,Jerry Mitchell,26
0,Ji-Yub Kim,11
0,John Carey,72
0,John Petersen,21
0,Jonathan Gilligan,40
0,Joseph Sarkis,145
0,Joshua Baker,48
0,Justin Carre,48
0,Katherine Carman,22
0,Kelsey Larsen,7
0,Kenneth Manton,83
0,Keri Stephens,52
0,Kevin He,25
0,Kurt Stephenson,28
0,Lee Kahlor,33
0,Margaret Neale,70
0,Marina Meila,41
0,Mark Sagoff,41
0,Mark Schlesinger,23
0,Mary Hansen,48
0,Maureen Craig,20
0,Megan Dillow,20
0,Michael Birnbaum,64
0,Michael DeKay,30
0,Michael Doherty,133
0,Michael Taaffe,45
0,Michal Tamuz,15
0,Mike McCormack,86
0,Myong-Hun Chang,17
0,Nadja Schreiber Compo,23
0,Ortwin Renn,100
0,Patricia Greene,30
0,Patricia Schneider,10
0,Paul Beck,75
0,Paul Sabatier,112
0,Pavel Atanasov,16
0,Peter Matthews,19
0,Piotr Jankowski,39
0,Rae Zimmerman,31
0,Richard Anderson,131
0,Robert Gramling,38
0,Robert Isaac,16
0,Rowland Chang,1
0,Sendhil Mullainathan,88
0,Seth Frey,16
0,Shaoming Cheng,6
0,Shawn Curley,30
0,Sonny Rosenthal,26
0,Stefan Bucher,46
0,Stephanie Chang,49
0,Steven Shreve,69
0,Sucharita Gopal,40
0,Sydney E. Scott,61
0,Timothy Salmon,23
0,Toyib Aremu,3
0,Twila Tardif,45
0,William Block,37
0,William Pizer,60
0,Yan Chen,281
0,Yi-Chen Yang,30
0,Yiqian Wang,5
0,Youjin Jang,14
