,PI,H-Index
251,Richard McAdams,31
252,Stephen Rassenti,34
253,Tamara Dubowitz,40
254,Arun Vishwanath,31
255,John Geanakoplos,59
256,Susan Clark,81
257,Roxane Silver,74
258,Lisa Anderson,36
259,Jennifer Alix-Garcia,31
260,Pallab Mozumder,24
261,David Crocker,32
262,Abram Wagner,37
263,Hallie Eakin,60
264,Elena Katok,38
265,Igor Linkov,81
266,Rickey Thomas,91
267,Thomas Cooley,10
268,Prabhat Barnwal,8
269,Saba Siddiki,29
270,Anil Sawhney,38
271,Paul Windschitl,33
272,Ellen Holman,87
273,Yu Lu,36
274,Cesar Carrasco,20
275,Sherry Larkin,28
276,Bart Hobijn,40
277,Hirotsugu Uchida,22
278,James Miller,84
279,Elizabeth Segal,30
280,Joshua Weller,29
281,V. Sridharan,51
282,Janet Swim,65
283,Gediminas Adomavicius,53
284,Trang Le,43
285,Alexandra Fischer,48
286,Jasmina Arifovic,30
287,William Burns,26
288,Sarah Di Vittorio,3
289,Lynn Robertson,15
290,Daniel Connolly,20
291,Chester Spatt,39
292,Allen Lee,43
293,Daniel Tobin,15
294,Jonathan Cohen,156
295,Yitong Wang,15
296,John Lammers,21
297,David Hirshleifer,71
298,Kislaya Prasad,16
299,Erik Johnston,24
300,Wesley Highfield,36
301,Ronald Stinner,3
302,John Fitch,4
303,Jeryl Mumpower,29
304,Richard Woodward,61
305,William Harbaugh,31
306,Brent Steel,33
307,Mark Himmelstein,10
308,Philip Hart,72
309,Dara Wald,16
310,PingSun Leung,47
311,John Braden,31
312,Francis Alexander,98
313,Mark Buntaine,18
314,Christine Costello,15
315,Samuel Brody,58
316,Michael Hannigan,49
317,Mara Mather,76
318,Robyn Wilson,35
319,Andrew Lo,84
320,Leif Nelson,39
321,Zhaohui Wu,27
322,Soheil Nazarian,42
323,Daniel Vastfjall,68
324,Blair Johnson,75
325,Jukka Takala,28
326,Colin DeYoung,68
327,Kevin Dooley,57
328,Charles Redman,58
329,Raghav Rao,52
330,J. Randall Etheridge,10
331,Marcus Mayorga,3
332,Michael Kiparsky,21
333,Malvern Chiweshe,9
334,Jacob Freeman,19
335,George Kaplan,134
336,James Larson,23
337,Stanley Reynolds,27
338,Andrew Parker,73
339,Jeanne Brett,66
340,John Quiggin,68
341,Jayson Lusk,86
342,Peter Backlund,6
343,Joseph Hamm,21
344,Michael Wallace,97
