,PI,H-Index
0,Abigail Marsh,54
0,Adam Zwickle,18
0,Adena Rissman,31
0,Ailish Burns,4
0,Ajay Vinze,24
0,Alan Sanfey,57
0,Aldo Rustichini,76
0,Alessandra Cassar,20
0,Alessandro Vespignani,130
0,Alexandra Mislin,14
0,Alexandros Taflanidis,39
0,Alison Butler,67
0,Alka Sapat,20
0,Allecia Reid,21
0,Amanda Carrico,28
0,Amnon Rapoport,72
0,Ana Franco-Watkins,15
0,Ananya Sheth,7
0,Andrew Caplin,54
0,Andrew Foster,48
0,Andrew Schaefer,41
0,Andrew Schotter,55
0,Angela Fagerlin,78
0,Ani Harutyunyan,7
0,Anja Sautmann,11
0,Anjani Jain,4
0,Ann Bostrom,50
0,Ann-Margaret Esnard,27
0,Anna Tompsett,6
0,Anne Case,63
0,Anne Huff,40
0,Anne Miner,37
0,Anne Tsui,79
0,Anthony Evans,171
0,Anthony Leiserowitz,94
0,Antonio Rangel,68
0,Arie Lewin,66
0,Arika Virapongse,12
0,Arnim Wiek,67
0,Arnold Vedlitz,47
0,Bairong Wang,11
0,Barbara Minsker,38
0,Bart Hobijn,40
0,Baruch Fischhoff,129
0,Bei Xiao,16
0,Benigno Aguirre,43
0,Benjamin Golub,20
0,Bernard Grofman,80
0,Bernardo Huberman,103
0,Bernd Figner,24
0,Bertram Gawronski,83
0,Betsy Priem,1
0,Bill McEvily,28
0,Bin Gu,40
0,Blair Flicker,3
0,Botond Koszegi,35
0,Brad Barber,45
0,Bradley Adame,17
0,Brandy Aven,11
0,Brenda Major,103
0,Brendan Nyhan,53
0,Brent Chamberlain,12
0,Brent Scott,38
0,Brent Steel,33
0,Brian Elbel,42
0,Brian Lickel,42
0,Brian Meacham,32
0,Brian Nagle,7
0,Brian Wansink,100
0,Briony Swire-Thompson,22
0,Brittany Shoots-Reinhard,10
0,Bruce Avolio,141
0,Bruno Takahashi,27
0,Bryan Routledge,28
0,Carla Prater,39
0,Carolyn Kousky,40
0,Carter Hunt,24
0,Cary Deck,29
0,Catherine Sanders,24
0,Charles Benight,48
0,Charles Redman,58
0,Charles Wood,54
0,Chenna Reddy Cotla,4
0,Chester Spatt,39
0,Chris Hendrickson,69
0,Christina Boyce-Jacino,3
