,PI,H-Index
0,Christine Costello,15
0,Christine Moorman,49
0,Christine Smith,41
0,Christof Koch,174
0,Christopher Chartier,20
0,Christopher Kuzdas,11
0,Christos Cassandras,70
0,Clark Miller,39
0,Claudia Gonzalez-Vallejo,25
0,Colin Camerer,131
0,Colin DeYoung,68
0,Coren Apicella,43
0,Courtney Flint,36
0,Craig McKenzie,20
0,Craig Trumbo,29
0,Cristina Bicchieri,56
0,Cynthia Beath,39
0,Dale Yeatts,22
0,Dan Ariely,103
0,Dan Kahan,69
0,Dan Levin,44
0,Dana Rose Garfin,26
0,Daniel DeCaro,14
0,Daniel Friedman,62
0,Daniel Houser,42
0,Daniel Hruschka,40
0,Daniel Tobin,15
0,Darryl Seale,23
0,David Andow,64
0,David Broniatowski,38
0,David Budescu,72
0,David Hirshleifer,71
0,David Knoke,60
0,David Konisky,43
0,David Laibson,93
0,David Lam,43
0,David Lazer,71
0,David McEvoy,18
0,David Schwebel,96
0,David Veenstra,67
0,David Zald,87
0,Deborah Phillips,70
0,Debra Javeline,16
0,Denise Lach,28
0,Dennis Epple,50
0,Dennis Ojima,87
0,Dennis Proffitt,79
0,Deserai Crow,25
0,Detlof von Winterfeldt,53
0,Diana Mitsova,16
0,Dolores Albarracin,62
0,Dominic Massaro,82
0,Dominique Brossard,67
0,Don Fullerton,62
0,Donald Kinder,62
0,Douglas Kenrick,86
0,Douglas Medin,101
0,Duan Li,54
0,Duane Seppi,24
0,Duncan Thomas,95
0,E. Tory Higgins,147
0,Edella Schlager,39
0,Edward McCaffery,31
0,Edward Vul,41
0,Edwin Sabuhoro,9
0,Eitan Naveh,32
0,Elena Asparouhova,12
0,Elena Katok,38
0,Eli Berman,33
0,Elinor Ostrom,169
0,Elissa Cohen,6
0,Elizabeth Albright,18
0,Elizabeth Koebele,22
0,Elizabeth Mullen,22
0,Elke Weber,96
0,Ellen Peters,80
0,Elliot Rabinovich,37
0,Emily Ho,62
0,Emily Rauscher,37
0,Eric Toman,24
0,Erik Brynjolfsson,110
0,Erik Thulin,9
0,Erika Weinthal,38
0,Eugene Borgida,53
0,Eva Telzer,66
0,Eyal Aharoni,21
0,Eytan Adar,55
0,Ezra Markowitz,34
0,Fabrizio Lillo,55
0,Felicia Pratto,73
0,Ferenc Szidarovszky,46
0,Frank Schilbach,16
0,Garey Ramey,35
0,Garold Stasser,39
0,Garrett van Ryzin,38
0,Garrick Louis,14
0,Gary Dickson,5
0,Gary Gaeth,32
0,Gediminas Adomavicius,53
0,Geoffroy de Clippel,21
0,George Huber,104
0,George Loewenstein,168
0,George Nemhauser,89
0,Gerald Fryxell,38
0,Gerardine DeSanctis,56
0,Gerianne Alexander,44
0,Gilbert Omenn,101
0,Giuseppe Pagnoni,42
0,Glenn Guntenspergen,51
0,Glenn Shafer,57
0,Gordon Phillips,38
0,Gordon Walker,70
0,Graham Dixon,21
0,Gretchen Chapman,65
0,Guillermo Gallego,52
0,Gulden Ulkumen,12
0,Hadi Dowlatabadi,48
0,Haewon Yoon,8
0,Hallie Eakin,60
0,Hang Lu,54
0,Hank Jenkins-Smith,56
0,Hannah Brenkert-Smith,22
0,Haoning Xue,4
0,Heather Lazrus,30
0,Heather Royer,18
0,Hengchen Dai,22
0,Henrik Olsson,8
0,Hirotsugu Uchida,22
0,Holly Arrow,29
0,Hongtao Yi,30
0,Howard Thomas,101
0,Hugh Gladwin,28
0,Hwanseok Song,8
0,Ido Erev,61
0,Igor Linkov,81
0,Irem Uz,11
0,Isabelle Brocas,27
0,J. Randall Etheridge,10
0,Jacob Fooks,12
0,Jacob Freeman,19
0,Jacob Goeree,51
0,Jacob Hochard,12
0,Jacopo Baggio,33
0,Jacopo Magnani,6
0,James Andreoni,61
0,James Bettman,77
0,James Boyd,53
0,James Druckman,80
0,James Farmer,25
0,James Hammitt,73
0,James Hess,2
0,James Rilling,67
0,James Robison-Cox,20
0,James Shepperd,55
0,James Smith,226
0,Jamie Kruse,29
0,Janet Box-Steffensmeier,37
0,Janet Fulk,49
0,Janet Metcalfe,78
0,Janice Nadler,29
0,Jasmina Arifovic,30
0,Jason Reifler,44
0,Jayson Lusk,86
0,Jean Ensminger,27
0,Jeanine Skorinko,21
0,Jeannette Sutton,39
0,Jeff Dozier,69
0,Jeffrey Carpenter,44
0,Jeffrey Stanton,48
0,Jennifer Alix-Garcia,32
0,Jennifer Crocker,90
0,Jennifer Fraterrigo,25
0,Jennifer Roberts,48
0,Jennifer Trueblood,31
0,Jennifer Vendemia,20
0,Jerald Schnoor,76
0,Jeremy Freese,53
0,Jeremy Ginges,36
0,Jeremy Magruder,16
0,Jeremy Wolfe,94
0,Jerome Busemeyer,73
0,Jerry Mitchell,26
0,Jeryl Mumpower,29
0,Jesse Dallery,42
0,Jessica Witt,39
0,Jianchao Zhu,2
0,Jill Gambill,3
0,Jingwen Zhang,25
0,Joachim Krueger,60
0,Joan Peckham,17
0,Jody Chin Sing Wong,6
0,Johannes Haushofer,35
0,John Chandler,17
0,John Coles,70
0,John Crittenden,112
0,John Duffy,45
0,John Gastil,61
0,John Geanakoplos,59
0,John Hamman,8
0,John Hansen,75
0,John Hershey,58
0,John Horowitz,83
0,John Jasper,18
0,John Jonides,116
0,John Monahan,99
0,John Petersen,21
0,John Pratt,22
0,John Quiggin,68
0,John Rust,38
0,John Schelhas,31
0,John Scholz,44
0,John Van Huyck,24
0,John Van Reenen,101
0,John Wooders,22
0,Jonathan Baron,100
0,Jonathan Gilligan,40
0,Jonathon Cummings,34
0,Joseph Arvai,41
0,Joseph Cesario,30
0,Joseph Harrington,51
0,Joseph Henrich,102
0,Joseph Johnson,26
0,Joseph Sarkis,145
0,Joshua Baker,48
0,Joshua Klayman,21
0,Joshua Weller,29
0,Josiah Heyman,41
0,Judea Pearl,123
0,Jukka Takala,28
0,Julie Downs,37
0,Julie Swann,34
0,Justin Sydnor,21
0,Kareen Rozen,13
0,Karen Richman,14
0,Karina Korostelina,23
0,Kariyushi Rao,1
0,Katherine Dixon-Gordon,40
0,Katherine McComas,44
0,Kelly Claborn,6
0,Kelsey Larsen,7
0,Kenneth Broad,39
0,Kenneth Manton,83
0,Kenneth Oye,29
0,Kevin Dooley,57
0,Kevin Linderman,39
0,Kevin McCabe,54
0,Kimberley Shoaf,23
0,Kimberly Wade-Benzoni,31
0,Kirstin Dow,40
0,Kishore Gawande,29
0,Kislaya Prasad,16
0,Klaus Keller,53
0,Krassimira Paskaleva,19
0,Krishna Dasaratha,9
0,Krister Andersson,41
0,Kuhika Gupta,16
0,Kurt Lavetti,10
0,Kurt Stephenson,28
0,Kurt Waldman,22
0,Kyle Hunt,11
0,LD Mattson,2
0,Lance Gharavi,5
0,Larissa Larsen,25
0,Lauren Guggenheim,8
0,Lauren Young,21
0,Leaf Van Boven,48
0,Lee Ross,73
0,Leeat Yariv,36
0,Leen-Kiat Soh,37
0,Leidy Klotz,29
0,Leonard Shabman,31
0,Lera Boroditsky,49
0,Leslie DeChurch,44
0,Levon Barseghyan,17
0,Linda Argote,58
0,Lisa Anderson,36
0,Lisa Zaval,15
0,Loretta Pyles,25
0,Louis Narens,36
0,Louis Scuderi,30
0,Louise Comfort,47
0,Lucie Laurian,20
0,Lyle Ungar,97
0,Lynsay Ayer,25
0,Macartan Humphreys,46
0,Manuel Ruiz-Aravena,15
0,Mara Mather,76
0,Marco Janssen,81
0,Margaret Meloy,21
0,Margaret Neale,70
0,Margaret Shih,32
0,Maria Rios,55
0,Maria-Florina Balcan,54
0,Marianne Bertrand,67
0,Marina Meila,41
0,Mark Borsuk,44
0,Mark Himmelstein,10
0,Mark Lubell,73
0,Mark Nichter,69
0,Mark Sagoff,41
0,Mark Schlesinger,23
0,Mark Schneider,8
0,Mark Spearman,25
0,Mark Walker,99
0,Markus Kemmelmeier,43
0,Martha Grabowski,29
0,Marvin Goodfriend,45
0,Mary Frances Luce,36
0,Massimo Morelli,38
0,Massimo Piattelli-Palmarini,35
0,Matteo Pozzi,28
0,Matthew Hamilton,39
0,Matthew Rabin,60
0,Maureen Craig,20
0,Max Bazerman,109
0,Max Henrion,42
0,Max Pfeffer,7
0,Maya Tamir,62
0,Meghna Babbar-Sebens,20
0,Michael Beran,61
0,Michael Caramanis,38
0,Michael Dodd,30
0,Michael Doherty,133
0,Michael Hannigan,49
0,Michael Kiparsky,21
0,Michael Kraft,33
0,Michael Riediker,43
0,Michael Vandenbergh,35
0,Michael Xenos,51
0,Michael Zazanis,16
0,Michaela Huber,18
0,Michal Tamuz,15
0,Michele Gelfand,94
0,Michelle Shumate,35
0,Mindy Mallory,18
0,Mira Frick,9
0,Mirit Friedman,2
0,Mirta Galesic,51
0,Morris Kleiner,37
0,Myong-Hun Chang,17
0,Nadja Schreiber Compo,23
0,Nagpurnanand Prabhala,23
0,Nancy Kanwisher,116
0,Nancy Tuana,42
0,Naomi Kakoschke,19
0,Nathan Dieckmann,39
0,Nathan Kettle,14
0,Nathan Nunn,43
0,Neville Moray,55
0,Noshir Contractor,63
0,Olga Wilhelmi,31
0,Ortwin Renn,101
0,Paige Amormino,5
0,Pallab Mozumder,24
0,Patricia Gober,53
0,Patrick Gurian,31
0,Paul Griffin,40
0,Paul Rozin,128
0,Paul Slovic,171
0,Paul Thibodeau,23
0,Pavel Atanasov,16
0,Peggy Policastro,8
0,Penelope Sanderson,47
0,Peter Carnevale,55
0,Peter Cramton,64
0,Peter Golubtsov,7
0,Peter Liberman,16
0,Peter Matthews,19
0,Peter Monge,56
0,Philip Berke,59
0,Philip Dennison,61
0,PingSun Leung,47
0,Piotr Jankowski,39
0,Prabhat Barnwal,8
0,Priti Shah,44
0,Radhika Lunawat,7
0,Ragan Petrie,24
0,Raksha Balakrishna,3
0,Ralph Adolphs,130
0,Ramiro Berardo,27
0,Ramzi Suleiman,29
0,Ray Reagans,23
0,Rebecca Morss,40
0,Rebecca Niemiec,19
0,Regina Smyth,18
0,Ricardo Daziano,30
0,Richard Fowles,15
0,Richard Hooper,61
0,Richard Zeckhauser,107
0,Riitta Katila,25
0,Robert Boyd,125
0,Robert Forsythe,37
0,Robert Lempert,63
0,Robert McKelvey,25
0,Robert Winkler,73
0,Roberto Weber,43
0,Robin Morris,68
0,Ronaldo Vigo,16
0,Royce Francis,12
0,Rumi Chunara,30
0,Ryan Oprea,23
0,Ryota Iijima,14
0,S. David Wu,36
0,Saba Siddiki,29
0,Sahara Byrne,22
0,Salvatore March,34
0,Samir Huseynov,6
0,Sanders Korenman,40
0,Sanya Carley,42
0,Sara Grineski,46
0,Sara Lowes,12
0,Sarah Bonner,22
0,Sarah Brosnan,53
0,Sarah Di Vittorio,3
0,Sarah Schweizer,9
0,Sarah Smith,41
0,Sarah Stafford,19
0,Sauleh Siddiqui,28
0,Scott Atran,74
0,Scott Shenker,163
0,Scott de Marchi,16
0,Sendhil Mullainathan,88
0,Sergio Villamayor-Tomas,34
0,Seth Frey,16
0,Seth Tuler,28
0,Shalini Misra,16
0,Shannon Van Zandt,30
0,Shauna BurnSilver,23
0,Shawn Curley,30
0,Sheheryar Banuri,12
0,Sherine El-Toukhy,16
0,Sherri Jean Katz,12
0,Sherry Larkin,28
0,Shinobu Kitayama,95
0,Shu-Fang Shih,18
0,Silvia Saccardo,17
0,Simon DeDeo,27
0,Snehasis Mukhopadhyay,27
0,So-Yeon Yoon,22
0,Soheil Nazarian,42
0,Sonny Rosenthal,26
0,Srilata Zaheer,30
0,Stanley Reynolds,27
0,Stephanie Chang,49
0,Stephen Hilgartner,31
0,Stephen Rassenti,34
0,Steven Jones,157
0,Steven Neuberg,65
0,Steven Penrod,70
0,Steven Ruggles,61
0,Subimal Chatterjee,21
0,Sucharita Gopal,40
0,Sudeep Bhatia,29
0,Sukumar Ganapati,22
0,Sungjong Roh,16
0,Supreet Kaur,11
0,Susan Jacobson,10
0,Susan Slotnick,14
0,Sylvan Herskowitz,6
0,Tamar Krishnamurti,23
0,Tamar Kugler,19
0,Tamara Dubowitz,40
0,Tanya Hayes,18
0,Tanya Heikkila,44
0,Tanya Rosenblat,20
0,Taosheng Liu,32
0,Tara Grillos,11
0,Teddy Seidenfeld,34
0,Tehila Kogut,26
0,Terrance Hurley,34
0,Terrance Odean,30
0,Terry Connolly,53
0,Thomas Dietz,99
0,Thomas Heberlein,62
0,Thomas Redick,39
0,Timothy Besley,100
0,Timothy Earle,57
0,Timothy Hackenberg,31
0,Toby Parcel,40
0,Todd Hare,50
0,Todd McElroy,22
0,Toyib Aremu,3
0,Tracy Hammond,36
0,Tracy Kijewski-Correa,32
0,Tricia Wachtendorf,33
0,Trudy Ann Cameron,40
0,Twila Tardif,45
0,Ulf Bockenholt,48
0,Valerie Reyna,91
0,Victoria Shaffer,27
0,Vijay Gurbaxani,33
0,Vincent Mak,14
0,Virginia Sapiro,32
0,Vojislav Maksimovic,57
0,W. Douglass Shaw,39
0,W. Russell Neuman,39
0,Wallace Hopp,54
0,Wendy Thomas,37
0,William Bianco,21
0,William Hallman,42
0,William Pizer,60
0,William Schulze,55
0,William Zame,43
0,Winston Sieck,21
0,Xavier Basurto,50
0,Xavier Gabaix,57
0,Yang Zhang,88
0,Yi-Chang Chiu,36
0,Yiqian Wang,5
0,Yitong Wang,15
0,Yiwei Xu,6
0,Youjin Jang,14
0,Yu Xie,77
0,Yuxian Cui,5
0,Zhaohui Wu,27
0,Zygmunt Pizlo,35
0,bethany ojalehto,10
